timestamp,X,Y,Z
'19-Feb-2023 23:31:18.110',3.503922,-10.080811,0.034897
'19-Feb-2023 23:31:18.130',3.398575,-9.743225,1.059616
'19-Feb-2023 23:31:18.150',3.094513,-9.752808,1.691696
'19-Feb-2023 23:31:18.170',2.03627,-9.144684,-0.896439
'19-Feb-2023 23:31:18.190',1.018738,-9.791107,-0.929962
'19-Feb-2023 23:31:18.210',0.039505,-10.162216,-0.769547
'19-Feb-2023 23:31:18.230',-0.003586,-10.370514,-0.977844
'19-Feb-2023 23:31:18.250',0.736221,-10.758377,-0.070435
'19-Feb-2023 23:31:18.270',1.274918,-11.299454,-0.003403
'19-Feb-2023 23:31:18.290',1.813614,-11.541275,-0.793488
'19-Feb-2023 23:31:18.310',2.483994,-11.574799,-0.99939
'19-Feb-2023 23:31:18.330',3.195068,-11.811813,-0.877289
'19-Feb-2023 23:31:18.350',3.506317,-10.744003,-1.846939
'19-Feb-2023 23:31:18.370',2.582153,-9.714493,-2.419159
'19-Feb-2023 23:31:18.390',0.841568,-9.491837,-1.0784
'19-Feb-2023 23:31:18.410',1.428146,-9.159042,-0.360138
'19-Feb-2023 23:31:18.430',2.486389,-8.256424,-1.490204
'19-Feb-2023 23:31:18.450',2.776077,-7.801529,-2.162979
'19-Feb-2023 23:31:18.470',2.249359,-7.56929,-1.966644
'19-Feb-2023 23:31:18.490',0.930161,-7.626755,-1.444717
'19-Feb-2023 23:31:18.510',-0.02034,-7.380157,-1.557236
'19-Feb-2023 23:31:18.530',0.168793,-7.123978,-2.852509
'19-Feb-2023 23:31:18.550',0.700317,-7.078491,-3.453445
'19-Feb-2023 23:31:18.570',1.387451,-7.459167,-3.048828
'19-Feb-2023 23:31:18.590',1.818405,-8.103195,-2.644211
'19-Feb-2023 23:31:18.610',2.462448,-8.045746,-3.671326
'19-Feb-2023 23:31:18.630',3.118454,-7.997864,-4.674484
'19-Feb-2023 23:31:18.650',3.18309,-8.20137,-5.22995
'19-Feb-2023 23:31:18.670',3.985153,-8.706543,-5.56514
'19-Feb-2023 23:31:18.690',4.665115,-9.398468,-4.81575
'19-Feb-2023 23:31:18.710',4.025864,-10.246017,-4.308182
'19-Feb-2023 23:31:18.730',3.556595,-10.463882,-5.004898
'19-Feb-2023 23:31:18.750',3.954025,-9.518173,-6.63295
'19-Feb-2023 23:31:18.770',4.552582,-8.847794,-6.616196
'19-Feb-2023 23:31:18.790',4.32753,-9.077637,-4.99292
'19-Feb-2023 23:31:18.810',3.252533,-9.192566,-4.128616
'19-Feb-2023 23:31:18.830',2.079376,-11.196518,-2.098328
'19-Feb-2023 23:31:18.850',-0.034714,-12.051239,-0.649841
'19-Feb-2023 23:31:18.870',-0.010773,-10.914001,-1.006577
'19-Feb-2023 23:31:18.890',0.9086,-10.621902,-1.770325
'19-Feb-2023 23:31:18.910',1.624466,-9.908432,-5.893143
'19-Feb-2023 23:31:18.930',1.150421,-9.611542,-1.863693
'19-Feb-2023 23:31:18.950',0.618912,-8.69696,1.952652
'19-Feb-2023 23:31:18.970',0.606934,-8.761612,2.577545
'19-Feb-2023 23:31:18.990',1.054657,-9.276367,2.694855
